date,voltage,current,power,energy,charge,temp,time_seconds,time_str
2022-11-04 12:13:53,4.09,0.00,0.00,0.00,0.00,19,0,0d 00:00:00
2022-11-04 12:13:54,4.09,0.00,0.00,0.00,0.00,19,0,0d 00:00:00
2022-11-04 12:13:55,4.09,0.00,0.00,0.00,0.00,19,0,0d 00:00:00
2022-11-04 12:13:56,4.09,0.00,0.00,0.00,0.00,18,0,0d 00:00:00
2022-11-04 12:13:58,4.09,0.00,0.00,0.00,0.00,19,0,0d 00:00:00
2022-11-04 12:13:59,4.09,0.00,0.00,0.00,0.00,18,0,0d 00:00:00
2022-11-04 12:14:00,4.09,0.00,0.00,0.00,0.00,19,0,0d 00:00:00
2022-11-04 12:14:02,4.09,0.00,0.00,0.00,0.00,19,0,0d 00:00:00
2022-11-04 12:14:03,4.09,0.00,0.00,0.00,0.00,18,0,0d 00:00:00
2022-11-04 12:14:04,4.09,0.00,0.00,0.00,0.00,19,0,0d 00:00:00
2022-11-04 12:14:06,4.09,0.00,0.00,0.00,0.00,18,0,0d 00:00:00
2022-11-04 12:14:07,4.09,0.00,0.00,0.00,0.00,19,0,0d 00:00:00
2022-11-04 12:14:08,4.04,0.89,3.59,0.00,0.00,19,0,0d 00:00:00
2022-11-04 12:14:09,4.02,1.00,4.02,0.00,0.00,19,2,0d 00:00:02
2022-11-04 12:14:11,3.97,1.00,3.98,0.00,0.00,19,3,0d 00:00:03
2022-11-04 12:14:12,3.97,1.00,3.97,0.00,0.00,18,4,0d 00:00:04
2022-11-04 12:14:13,3.95,1.00,3.96,0.00,0.00,19,6,0d 00:00:06
2022-11-04 12:14:15,3.94,1.00,3.95,0.00,0.00,19,7,0d 00:00:07
2022-11-04 12:14:16,3.94,1.00,3.95,0.00,0.00,19,8,0d 00:00:08
2022-11-04 12:14:17,3.95,1.00,3.94,0.00,0.00,19,10,0d 00:00:10
2022-11-04 12:14:19,3.95,1.00,3.94,0.00,0.00,19,11,0d 00:00:11
2022-11-04 12:14:20,3.92,1.00,3.93,0.00,0.00,19,12,0d 00:00:12
2022-11-04 12:14:21,3.90,1.00,3.91,0.00,0.00,19,13,0d 00:00:13
2022-11-04 12:14:23,3.90,1.00,3.91,0.00,0.00,19,15,0d 00:00:15
2022-11-04 12:14:24,3.88,1.00,3.88,0.00,0.00,19,16,0d 00:00:16
2022-11-04 12:14:25,3.87,1.00,3.87,0.00,0.00,19,17,0d 00:00:17
2022-11-04 12:14:26,3.83,1.00,3.84,0.00,0.01,19,19,0d 00:00:19
2022-11-04 12:14:28,3.51,1.00,3.51,0.00,0.01,19,20,0d 00:00:20
2022-11-04 12:14:29,3.90,1.00,3.91,0.00,0.01,19,21,0d 00:00:21
2022-11-04 12:14:30,3.90,1.00,3.91,0.00,0.01,19,23,0d 00:00:23
2022-11-04 12:14:32,3.83,1.00,3.82,0.00,0.01,19,24,0d 00:00:24
2022-11-04 12:14:33,3.65,1.00,3.66,0.00,0.01,19,25,0d 00:00:25
2022-11-04 12:14:34,3.89,1.00,3.87,0.00,0.01,19,26,0d 00:00:26
2022-11-04 12:14:36,3.89,1.00,3.90,0.00,0.01,19,28,0d 00:00:28
2022-11-04 12:14:37,3.73,1.00,3.72,0.00,0.01,19,29,0d 00:00:29
2022-11-04 12:14:38,3.31,1.00,3.31,0.00,0.01,19,30,0d 00:00:30
2022-11-04 12:14:40,3.78,1.00,3.78,0.00,0.01,19,32,0d 00:00:32
2022-11-04 12:14:41,3.89,1.00,3.89,0.00,0.01,19,33,0d 00:00:33
2022-11-04 12:14:42,3.89,0.99,3.87,0.00,0.01,19,34,0d 00:00:34
2022-11-04 12:14:43,3.89,1.00,3.89,0.00,0.01,19,36,0d 00:00:36
2022-11-04 12:14:45,3.89,1.00,3.90,0.00,0.01,19,37,0d 00:00:37
2022-11-04 12:14:46,3.89,1.00,3.90,0.00,0.01,19,38,0d 00:00:38
2022-11-04 12:14:47,3.89,1.00,3.90,0.00,0.01,19,39,0d 00:00:39
2022-11-04 12:14:49,3.89,1.00,3.88,0.00,0.01,19,41,0d 00:00:41
2022-11-04 12:14:50,3.88,1.00,3.89,0.00,0.01,19,42,0d 00:00:42
2022-11-04 12:14:51,3.82,1.00,3.83,0.00,0.01,19,43,0d 00:00:43
2022-11-04 12:14:52,3.88,1.00,3.88,0.00,0.01,19,45,0d 00:00:45
2022-11-04 12:14:54,3.88,1.00,3.88,0.00,0.01,19,46,0d 00:00:46
2022-11-04 12:14:55,3.87,1.00,3.87,0.00,0.01,19,47,0d 00:00:47
2022-11-04 12:14:56,3.88,1.00,3.88,0.00,0.01,19,49,0d 00:00:49
2022-11-04 12:14:58,3.87,1.00,3.88,0.00,0.01,19,50,0d 00:00:50
2022-11-04 12:14:59,3.87,1.00,3.87,0.00,0.01,19,51,0d 00:00:51
2022-11-04 12:15:00,3.87,1.00,3.88,0.00,0.01,19,52,0d 00:00:52
2022-11-04 12:15:02,3.87,1.00,3.87,0.00,0.01,19,54,0d 00:00:54
2022-11-04 12:15:03,3.87,1.00,3.87,0.00,0.01,19,55,0d 00:00:55
2022-11-04 12:15:04,3.87,1.00,3.87,0.00,0.01,19,56,0d 00:00:56
